Registrant Name,Domain Admin
Registrant Organization,Meta Platforms, Inc.
Registrant Street,1601 Willow Rd 
Registrant City,Menlo Park
Registrant State/Province,CA
Registrant Postal Code,94025
Registrant Country,US
Registrant Phone,+1.6505434800
Registrant Phone Ext:,
Registrant Fax,
Registrant Fax Ext:,
Registrant Email,domain@fb.com
Admin Name,Domain Admin
Admin Organization,Meta Platforms, Inc.
Admin Street,1601 Willow Rd 
Admin City,Menlo Park
Admin State/Province,CA
Admin Postal Code,94025
Admin Country,US
Admin Phone,+1.6505434800
Admin Phone Ext:,
Admin Fax,
Admin Fax Ext:,
Admin Email,domain@fb.com
Tech Name,Domain Admin
Tech Organization,Meta Platforms, Inc.
Tech Street,1601 Willow Rd 
Tech City,Menlo Park
Tech State/Province,CA
Tech Postal Code,94025
Tech Country,US
Tech Phone,+1.6505434800
Tech Phone Ext:,
Tech Fax,
Tech Fax Ext:,
Tech Email,domain@fb.com
